Departamento_ID;Mes;Facturación total ($);Facturación por consumo ($);Consumo total (kWh);Numero de subsidios;Subsidios ($);Contribuciones ($);Promedio de ($/susc);Promedio de ($/susc);Promedio de Consumo (kWh/susc);Valor Facturado por ($/kWh);Valor FOES ($/kwh);Total
5;1/01/2024; 232,650,892,516   ;291,751,510,374 ;333,882,116;2,289,126;70,039,957,765 ; 5,195,998,849;101,633;127,451;145.9;873.8;8,203,088.00;599,982,963,939  
5;1/02/2024;236,699,009,645  ;296,269,929,346 ;335,181,072;2,288,263;72,081,075,891 ; 5,137,804,678;103,44;129,474;146.5;883.9;6,536,140.00;610,532,058,981  
5;1/03/2024;234,719,109,716  ;295,125,105,009 ;334,772,479;2,276,299;70,277,021,380 ; 5,420,809,603;103,114;129,651;147.1;881.6;3,548,072.00;605,882,876,353  
5;1/04/2024;227,749,293,360  ;283,743,937,980 ;326,340,637;2,296,176;67,669,119,326 ; 5,125,455,185;99,186;123,572;142.1;869.5;3,178,232.00;584,619,844,667  
5;1/05/2024;235,352,299,170  ;295,063,391,913 ;334,513,598;2,306,447;70,271,843,104 ; 5,217,775,649;102,041;127,93;145.0;882.1;1,133,014,790.00;607,375,375,670  
5;1/06/2024;238,276,885,261  ;302,227,181,529 ;333,337,467;2,307,680;73,231,623,574 ; 5,325,643,037;103,254;130,966;144.4;906.7;785,908,567.00;620,183,122,387  
5;1/07/2024;233,337,554,226  ;292,175,025,270 ;325,744,638;2,310,718;68,458,669,639 ; 5,248,636,978;100,981;126,443;141.0;896.9;523,190,198.00;600,071,360,130  
5;1/08/2024;912,772,682  ;770,897,143 ;999,271;3,296;-22,406,882 ; 61,645,185;276,933;233,889;303.2;771.5;0.00;1,724,422,593  
5;1/09/2024;738,293,989  ;617,521,704 ;830,262;3,216;1,692,657 ; 63,098,165;229,569;192,015;258.2;743.8;0.00;1,421,862,580  
5;1/10/2024;669,421,300  ;549,126,800 ;733,455;3,215;1,549,898 ; 58,356,784;208,218;170,801;228.1;748.7;0.00;1,279,571,449  
5;1/11/2024;666,277,790  ;545,814,511 ;727,435;3,214;1,510,558 ; 55,791,929;207,305;169,824;226.3;750.3;0.00;1,270,503,544  
5;1/12/2024;743,251,160  ;615,014,291 ;12,228,970;3,215;1,663,725 ; 63,265,773;231,182;191,295;3,803.7;50.3;0.00;1,435,853,467  
5;1/01/2025;181,450,243,579  ;229,911,474,965 ;308,011,134;2,217,409;55,854,288,150 ; 4,041,825,080;81,83;103,685;138.9;746.4;343,714,794.00;471,911,961,512  
5;1/02/2025;181,228,294,303  ;229,312,552,945 ;304,888,555;2,228,082;56,404,007,731 ; 4,014,476,790;81,338;102,919;136.8;752.1;296,473,040.00;471,563,106,593  
5;1/03/2025;192,142,257,992  ;240,527,763,153 ;315,416,351;2,238,368;59,019,283,572 ; 4,285,861,296;85,84;107,457;140.9;762.6;134,851,804.00;496,427,866,738  
5;1/04/2025;188,717,995,335  ;239,410,334,628 ;308,645,537;2,234,765;58,905,817,812 ; 4,362,083,087;84,446;107,13;138.1;775.7;651,430,307.00;492,358,733,962  
5;1/05/2025;194,741,693,157  ;248,195,928,873 ;315,248,995;2,255,981;61,360,334,551 ; 4,338,951,859;86,322;110,017;139.7;787.3;1,078,583,247.00;510,033,193,930  
5;1/06/2025;200,576,519,093  ;253,899,303,660 ;319,304,658;2,267,200;62,363,764,832 ; 4,534,552,398;88,469;111,988;140.8;795.2;583,092,386.00;522,279,005,621  
5;1/07/2025;202,421,204,245  ;256,240,016,470 ;321,462,504;2,252,649;62,488,380,874 ; 4,606,010,223;89,859;113,751;142.7;797.1;1,054,280,307.00;527,133,811,823  
5;1/08/2025;204,954,366,489  ;256,278,159,631 ;322,899,798;2,255,507;61,801,911,253 ; 4,561,803,078;90,868;113,623;143.2;793.7;182,294,465.00;528,103,895,651  
5;1/09/2025;209,768,626,477  ;261,393,010,342 ;331,192,679;2,264,447;62,237,780,961 ; 4,735,220,559;92,636;115,433;146.3;789.2;14,048,400.00;538,482,352,871  
5;1/10/2025;206,472,584,520  ;258,782,432,935 ;328,219,766;2,263,946;61,322,598,856 ; 4,633,612,641;91,2;114,306;145.0;788.4;1,234,656,376.00;532,776,575,481  
