ID,Municipios_ID,Mes,Promedio_Radiacion
1,81591,January,5.146666666
2,81736,January,5.146666666
3,81794,January,5.146666666
4,85001,January,5.153333333
5,85010,January,5.153333333
6,85015,January,5.153333333
7,85125,January,5.146666666
8,85136,January,5.056666666
9,85139,January,5.513333333
10,85162,January,5.513333333
11,85225,January,5.153333333
12,85230,January,5.593333333
13,85250,January,5.613333333
14,85263,January,5.613333333
15,85279,January,5.153333333
16,85300,January,4.696666666
17,85315,January,5.056666666
18,85325,January,5.613333333
19,85400,January,5.153333333
20,85410,January,5.153333333
21,85430,January,5.613333333
22,85440,January,5.513333333
23,86001,January,4.006666666
24,86219,January,4.006666666
25,86320,January,4.553333333
26,86568,January,4.553333333
27,86569,January,4.553333333
28,86571,January,4.553333333
29,86573,January,4.833333333
30,86749,January,4.006666666
31,86755,January,4.006666666
32,86757,January,4.553333333
33,86760,January,4.086666666
34,86865,January,4.553333333
35,86885,January,4.006666666
36,88001,January,5.303333333
37,88564,January,5.22
38,91001,January,4.553333333
39,91263,January,4.786666666
40,91405,January,4.74
41,91407,January,4.596666666
42,91430,January,4.853333333
43,91460,January,4.68
44,91530,January,4.776666666
45,91536,January,4.67
46,91540,January,4.74
47,91669,January,4.823333333
48,91798,January,4.576666666
49,94001,January,5.17
50,94343,January,5.236666666
51,94883,January,4.696666666
52,94884,January,4.793333333
53,94885,January,4.756666666
54,94886,January,5.17
55,94887,January,4.666666666
56,94888,January,4.856666666
57,95001,January,5.38
58,95015,January,5.213333333
59,95025,January,5.38
60,95200,January,5.09
61,97001,January,4.946666666
62,97161,January,5.09
63,97511,January,4.853333333
64,97666,January,4.566666666
65,97777,January,4.946666666
66,97889,January,4.61
67,99001,January,5.773333333
68,99524,January,5.693333333
69,99624,January,5.693333333
70,99773,January,5.453333333
71,50590,January,5.333333333
72,50606,January,4.696666666
73,50680,January,5.083333333
74,50683,January,5.083333333
75,50686,January,4.696666666
76,50689,January,5.083333333
77,50711,January,5.083333333
78,52001,January,4.086666666
79,52019,January,4.086666666
80,52022,January,3.96
81,52036,January,4.086666666
82,52051,January,4.086666666
83,52079,January,4.04
84,52083,January,4.086666666
85,52110,January,4.086666666
86,52203,January,4.086666666
87,52207,January,4.086666666
88,52210,January,3.96
89,52215,January,3.96
90,52224,January,3.96
91,52227,January,3.96
92,52233,January,4.086666666
93,52240,January,4.086666666
94,52250,January,4.113333333
95,52254,January,4.086666666
96,52256,January,4.086666666
97,52258,January,4.086666666
98,52260,January,4.086666666
99,52287,January,4.086666666
100,52317,January,3.96
101,52320,January,4.086666666
102,52323,January,3.96
103,52352,January,3.96
104,52354,January,4.086666666
105,52356,January,3.96
106,52378,January,4.006666666
107,52381,January,4.086666666
108,52385,January,4.086666666
109,52390,January,4.113333333
110,52399,January,4.086666666
111,52405,January,4.086666666
112,52411,January,4.086666666
113,52418,January,4.086666666
114,52427,January,4.04
115,52435,January,4.086666666
116,52473,January,4.113333333
117,52480,January,4.086666666
118,52490,January,4.113333333
119,52506,January,4.086666666
120,52520,January,4.113333333
121,52540,January,4.086666666
122,52560,January,3.96
123,52565,January,4.086666666
124,52573,January,3.96
125,52585,January,3.96
126,52612,January,4.086666666
127,52621,January,4.04
128,52678,January,4.086666666
129,52683,January,4.086666666
130,52685,January,4.086666666
131,52687,January,4.086666666
132,52693,January,4.086666666
133,52694,January,4.086666666
134,52696,January,3.896666666
135,52699,January,4.086666666
136,52720,January,4.086666666
137,52786,January,4.086666666
138,52788,January,4.086666666
139,52835,January,4.04
140,52838,January,4.086666666
141,52885,January,4.086666666
142,54001,January,4.503333333
143,54003,January,5.136666666
144,54051,January,4.503333333
145,54099,January,4.503333333
146,54109,January,4.636666666
147,54125,January,4.503333333
148,54128,January,5.423333333
149,54172,January,4.503333333
150,54174,January,4.503333333
151,54206,January,5.136666666
152,54223,January,4.503333333
153,54239,January,4.503333333
154,54245,January,5.136666666
155,54250,January,5.136666666
156,54261,January,4.503333333
157,54313,January,4.503333333
158,54344,January,5.136666666
159,54347,January,4.503333333
160,54377,January,4.503333333
161,54385,January,5.423333333
162,54398,January,5.136666666
163,54405,January,4.503333333
164,54418,January,4.503333333
165,54480,January,4.503333333
166,54498,January,5.136666666
167,54518,January,4.503333333
168,54520,January,4.503333333
169,54553,January,4.636666666
170,54599,January,4.503333333
171,54660,January,4.503333333
172,54670,January,5.136666666
173,54673,January,4.503333333
174,54680,January,4.503333333
175,54720,January,4.636666666
176,54743,January,4.503333333
177,54800,January,5.136666666
178,54810,January,4.636666666
179,54820,January,4.503333333
180,54871,January,4.503333333
181,54874,January,4.503333333
182,63001,January,4.526666666
183,63111,January,4.526666666
184,63130,January,4.526666666
185,63190,January,4.526666666
186,63212,January,4.526666666
187,63272,January,4.526666666
188,63302,January,4.526666666
189,63401,January,4.526666666
190,63470,January,4.526666666
191,63548,January,4.526666666
192,63594,January,4.526666666
193,63690,January,4.526666666
194,66001,January,4.526666666
195,66045,January,4.73
196,66075,January,4.526666666
197,66088,January,4.73
198,66170,January,4.526666666
199,66318,January,4.73
200,66383,January,3.78
201,66400,January,4.526666666
202,66440,January,4.526666666
203,66456,January,4.73
204,66572,January,3.78
205,66594,January,4.73
206,66682,January,4.526666666
207,66687,January,4.73
208,68001,January,5.423333333
209,68013,January,5.21
210,68020,January,5.03
211,68051,January,5.21
212,68077,January,5.03
213,68079,January,5.21
214,68081,January,5.423333333
215,68092,January,5.21
216,68101,January,5.03
217,68121,January,5.21
218,68132,January,4.503333333
219,68147,January,5.056666666
220,68152,January,5.056666666
221,68160,January,5.056666666
222,68162,January,5.056666666
223,68167,January,5.21
224,68169,January,4.503333333
225,68176,January,5.21
226,68179,January,5.21
227,68190,January,5.21
228,68207,January,5.056666666
229,68209,January,5.21
230,68211,January,5.21
231,68217,January,5.21
232,68229,January,5.21
233,68235,January,5.21
234,68245,January,5.21
235,68250,January,5.21
236,68255,January,5.423333333
237,68264,January,5.21
238,68266,January,5.056666666
239,68271,January,5.03
240,68276,January,5.423333333
241,68296,January,5.21
242,68298,January,5.03
243,68307,January,5.423333333
244,68318,January,5.056666666
245,68320,January,5.21
246,68322,January,5.21
247,68324,January,5.03
248,68327,January,5.21
249,68344,January,5.21
250,68368,January,5.03
251,68370,January,5.21
252,68377,January,5.03
253,68385,January,5.21
254,68397,January,5.21
255,68406,January,5.423333333
256,68418,January,5.21
257,68425,January,5.056666666
258,68432,January,5.056666666
259,68444,January,5.423333333
260,68464,January,5.056666666
261,68468,January,5.056666666
262,68498,January,5.21
263,68500,January,5.21
264,68502,January,5.056666666
265,68522,January,5.21
266,68524,January,5.21
267,68533,January,5.21
268,68547,January,5.21
269,68549,January,5.21
270,68572,January,5.03
271,68573,January,5.163333333
272,68575,January,5.423333333
273,68615,January,5.423333333
274,68655,January,5.423333333
275,68669,January,5.056666666
276,68673,January,5.21
277,68679,January,5.21
278,68682,January,5.056666666
279,68684,January,5.056666666
280,68686,January,5.056666666
281,68689,January,5.21
282,68705,January,5.056666666
283,68720,January,5.21
284,68745,January,5.21
285,68755,January,5.21
286,68770,January,5.21
287,68773,January,5.03
288,68780,January,4.503333333
289,68820,January,4.503333333
290,68855,January,5.21
291,68861,January,5.21
292,68867,January,4.503333333
293,68872,January,5.21
294,68895,January,5.21
295,70001,January,5.483333333
296,70110,January,5.593333333
297,70124,January,5.17
298,70204,January,5.483333333
299,70215,January,5.483333333
300,70221,January,5.483333333
301,70230,January,5.483333333
302,70233,January,5.483333333
303,70235,January,5.483333333
304,70265,January,5.29
305,70400,January,5.17
306,70418,January,5.483333333
307,70429,January,5.29
308,70473,January,5.483333333
309,70508,January,5.483333333
310,70523,January,5.483333333
311,70670,January,5.483333333
312,70678,January,5.17
313,70702,January,5.483333333
314,70708,January,5.17
315,70713,January,5.483333333
316,70717,January,5.483333333
317,70742,January,5.483333333
318,70771,January,5.29
319,70820,January,5.483333333
320,70823,January,5.483333333
321,73001,January,4.526666666
322,73024,January,4.51
323,73026,January,4.913333333
324,73030,January,4.913333333
325,73043,January,4.526666666
326,73055,January,4.933333333
327,73067,January,4.64
328,73124,January,4.526666666
329,73148,January,4.913333333
330,73152,January,4.73
331,73168,January,4.64
332,73200,January,4.913333333
333,73217,January,4.64
334,73226,January,4.913333333
335,73236,January,4.51
336,73268,January,4.913333333
337,73270,January,4.933333333
338,73275,January,4.913333333
339,73283,January,4.73
340,73319,January,4.913333333
341,73347,January,4.73
342,73349,January,4.933333333
343,73352,January,4.913333333
344,73408,January,4.913333333
345,73411,January,4.526666666
346,73443,January,4.933333333
347,73449,January,4.913333333
348,73461,January,4.526666666
349,73483,January,4.64
350,73504,January,4.64
351,73520,January,4.73
352,73547,January,4.913333333
353,73555,January,4.64
354,73563,January,4.51
355,73585,January,4.51
356,73616,January,4.64
357,73622,January,4.526666666
358,73624,January,4.526666666
359,73671,January,4.64
360,73675,January,4.64
361,73678,January,4.526666666
362,73686,January,4.526666666
363,73770,January,4.913333333
364,73854,January,4.526666666
365,73861,January,4.913333333
366,73870,January,4.73
367,73873,January,4.51
368,76001,January,4.146666666
369,76020,January,4.526666666
370,76036,January,3.92
371,76041,January,4.526666666
372,76054,January,3.92
373,76100,January,3.92
374,76109,January,4.296666666
375,76111,January,4.146666666
376,76113,January,3.92
377,76122,January,4.526666666
378,76126,January,4.146666666
379,76130,January,4.146666666
380,76147,January,4.526666666
381,76233,January,4.146666666
382,76243,January,3.92
383,76246,January,3.92
384,76248,January,4.146666666
385,76250,January,3.92
386,76275,January,4.146666666
387,76306,January,4.146666666
388,76318,January,4.146666666
389,76364,January,4.146666666
390,76377,January,4.146666666
391,76400,January,3.92
392,76403,January,3.92
393,76497,January,4.526666666
394,76520,January,4.146666666
395,76563,January,4.146666666
396,76606,January,4.146666666
397,76616,January,3.92
398,76622,January,3.92
399,76670,January,4.146666666
400,76736,January,4.526666666
401,76823,January,3.92
